Nb,Ta,V,Cr,Mo,Ti,W,density,V_avgr,Tm_avg_K,active_system,YS_1300C_MPa,dist_to_target
0.2,0.15,0.2,0.0,0.2,0.2,0.05,9.3592,0.345,2632.25,Nb-Ta-V-Mo-Ti-W,256.26081278544416,0.17320508075688776
0.2,0.15,0.2,0.05,0.05,0.25,0.1,9.3625,0.339,2588.65,Nb-Ta-V-Cr-Mo-Ti-W,284.160670946454,0.17320508075688773
0.2,0.15,0.2,0.05,0.15,0.2,0.05,9.2027,0.3399999999999999,2596.45,Nb-Ta-V-Cr-Mo-Ti-W,335.1947352975006,0.14142135623730953
0.2,0.15,0.2,0.05,0.2,0.15,0.05,9.491400000000002,0.3395,2644.2000000000003,Nb-Ta-V-Cr-Mo-Ti-W,404.13825680666446,0.14142135623730953
0.2,0.15,0.2,0.05,0.25,0.15,0.0,9.0429,0.341,2604.25,Nb-Ta-V-Cr-Mo-Ti,386.1144173779812,0.2
0.2,0.15,0.2,0.1,0.05,0.2,0.1,9.494700000000002,0.3335,2600.6000000000004,Nb-Ta-V-Cr-Mo-Ti-W,410.0965215125028,0.14142135623730953
0.2,0.15,0.2,0.1,0.15,0.15,0.05,9.3349,0.3345,2608.4,Nb-Ta-V-Cr-Mo-Ti-W,470.9541270043378,0.12247448713915891
0.2,0.15,0.2,0.1,0.25,0.1,0.0,9.1751,0.3355,2616.2,Nb-Ta-V-Cr-Mo-Ti,530.6906915294544,0.2
0.2,0.15,0.2,0.15,0.15,0.1,0.05,9.4671,0.329,2620.35,Nb-Ta-V-Cr-Mo-Ti-W,607.477379527228,0.1414213562373095
0.2,0.15,0.2,0.15,0.2,0.1,0.0,9.0186,0.3305,2580.4,Nb-Ta-V-Cr-Mo-Ti,579.3947284074583,0.18708286933869708
0.2,0.15,0.2,0.2,0.1,0.1,0.05,9.3106,0.324,2584.55,Nb-Ta-V-Cr-Mo-Ti-W,636.1851598455515,0.17320508075688776
0.2,0.15,0.25,0.0,0.05,0.25,0.1,9.3105,0.347,2588.8,Nb-Ta-V-Mo-Ti-W,214.64449340373912,0.18257418583505536
0.2,0.15,0.25,0.0,0.15,0.2,0.05,9.1507,0.348,2596.6000000000004,Nb-Ta-V-Mo-Ti-W,257.09561208120704,0.1527525231651947
